word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,23.947408899999573,None,space,7.1401707000040915,24.946631399994658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
,,,,,,,,,,,,,,,,,,,,,,32.11280219999753,None,space,26.69053530000383,33.12955679999868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.84627869999531,None,space,21.46370790000219,60.86269899999752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15786730000399984,None,83.19603839999763,84.47997629999736,up,1,0.8921410999973887,83.19603839999763,None,82.53510709999682,83.17943009999726,82.53510709999682,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,GREEN,1,left,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005612599998130463,None,86.17954489999829,87.46248699999705,left,1,0.9639840000018012,86.17954489999829,None,85.36331329999666,86.16277080000145,85.36331329999666,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH DƯƠNG,BLUE,1,down,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011428200006776024,None,89.17924769999809,90.4625664999985,down,1,0.7800520000018878,89.17924769999809,None,88.36843170000066,89.1626660999973,88.36843170000066,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002363700004934799,None,92.17934360000072,93.46275929999683,left,1,0.5135003999967012,92.17934360000072,None,91.36261820000072,92.16276980000112,91.36261820000072,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
XANH LÁ,GREEN,1,right,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008039499996812083,None,95.17902859999595,96.46287930000108,up,0,0.3040123000027961,95.17902859999595,None,94.36522390000027,95.1625200999988,94.36522390000027,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023674999974900857,None,98.1791946999947,99.46259160000045,left,1,0.5129181000011158,98.1791946999947,None,97.36266790000082,98.16265089999797,97.36266790000082,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
ĐỎ,RED,1,left,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033480000274721533,None,101.17996760000096,102.46259429999918,left,1,0.5085881000049994,101.17996760000096,None,100.36260529999709,101.16259149999678,100.36260529999709,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
VÀNG,YELLOW,1,up,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030061999932513572,None,104.17961709999508,105.46274889999768,up,1,1.4337845999980345,104.17961709999508,None,103.36269289999473,104.16281449999951,103.36269289999473,None,,,,,,,,,,,,,,,,,,,,,,,001,1488,2019_Oct_14_1450,stroop short,3.1.5,60.23443240966173,
