word,color,congruent,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,intro_text.started,intro_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ready_text.started,ready_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,ISI.started,ISI.stopped,trial_text.started,trial_text.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixationtrial.started,fixationtrial.stopped,trial_display.started,trial_display.stopped,resp.rt,rest_text.started,rest_text.stopped,key_resp_8.keys,key_resp_8.started,key_resp_8.stopped,rest_beep_start.started,rest_beep_start.stopped,rest_beep_end.started,rest_beep_end.stopped,rest_display.started,rest_display.stopped,text_2.started,text_2.stopped,fixationmain.started,fixationmain.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,task_display.started,task_display.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,10.759068200000911,None,space,3.1427761999948416,11.745029799989425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
,,,,,,,,,,,,,,,,,,,,,,14.911463799988269,None,space,16.15530939999735,15.929194799988181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.10767689999193,None,space,15.888737400004175,33.12416319998738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH LÁ,GREEN,1,right,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14684390000184067,None,49.88754749999498,51.187429999990854,None,0,49.88754749999498,None,49.22311209999316,49.88754749999498,49.22311209999316,None,,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,BLUE,1,up,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066799000051105395,None,52.87046539998846,54.15360520000104,down,0,52.87046539998846,None,52.0563470999914,52.85393939999631,52.0563470999914,None,1.514444899992668,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
XANH DƯƠNG,BLUE,1,down,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013275299992528744,None,55.8699409999972,57.15319169999566,down,1,55.8699409999972,None,55.05980920000002,55.85329129999445,55.05980920000002,None,0.4744693999964511,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,GREEN,1,left,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005841299993335269,None,58.869096599999466,60.15238439998939,right,0,58.869096599999466,None,58.05304579999938,58.85256229998777,58.05304579999938,None,1.3790355999954045,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,YELLOW,1,up,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036493999941740185,None,61.86852299999737,63.15174289999413,up,1,61.86852299999737,None,61.052168499998515,61.85212459998729,61.052168499998515,None,1.171518000002834,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
VÀNG,YELLOW,1,up,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00047480000648647547,None,64.86796350000077,66.15104399999836,up,1,64.86796350000077,None,64.0521344000008,64.85153719999653,64.0521344000008,None,0.5251910000079079,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
ĐỎ,RED,1,left,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028802999877370894,None,67.86790349999501,69.15047849999974,left,1,67.86790349999501,None,67.05068149999715,67.85087239999848,67.05068149999715,None,0.4228078000014648,,,,,,,,,,,,,,,,,,,,,,,001,1489,2019_Oct_14_1552,stroop short,3.1.5,60.022280274137294,
